Entry	EC number
B1XAE3	3.5.1.18
P23882	2.1.2.9
P0AEH7	
P0AA78	
C4ZX84	3.1.11.6
P0ACU5	
P75780	
P0A9L3	5.2.1.8
P32176	1.17.1.9
P23877	
P0ABY2	
Q7AAQ7	2.7.1.167; 2.7.7.70
P28631	2.7.7.7
B1XEJ0	1.4.4.2
C4ZSI0	4.1.2.40
P0A825	2.1.2.1
P0A6V5	2.8.1.1
P10346	
P0AC61	
C4ZSA8	2.4.2.17
P60757	2.4.2.17
P76445	2.7.4.29
P0A6Z1	
P0ACH0	
P22939	2.5.1.10
P00893	2.2.1.6
P0AB60	
P75830	
B1X9G6	
C4ZUA4	4.2.1.113
P0A8U6	
C5A0A5	
P0ACS1	
B1X6A8	3.1.3.70
P41052	4.2.2.n1
Q8X8V8	
B1XHJ5	2.7.1.60
C4ZTM7	
P0AFA5	
Q47270	
B1X7T9	
P0AFE6	7.1.1.-
Q8XCF9	3.1.1.61; 3.5.1.44
P26612	3.2.1.1
P0ABM5	
P12999	2.1.1.197
P0A982	
P12996	2.8.1.6
P69381	
P0A953	2.3.1.41
P76551	
P06972	
P58231	3.2.1.-
B1XA74	
P0A8V8	
P0ACX5	4.2.1.2
P0ABQ2	1.1.1.60
C5A0W2	5.3.1.9
P37182	3.4.23.-
P09831	1.4.1.13
P0AC69	
Q8XD23	3.5.1.2
P0AC84	3.1.2.6
P0AC64	
P0A6W5	
P60560	1.7.1.7
P76168	
B1XAY2	6.3.5.2
Q8X8T3	1.1.1.23
B1X8S0	
B1XH97	3.4.24.-
P0AFX0	
P0A9W6	
P62616	2.7.1.148
P05791	4.2.1.9
C4ZZ41	4.2.1.9
P52061	3.6.1.66
C1P619	
P0AAP0	
P0AAD0	
P0CF30	
B1XBF4	1.17.7.4
P76542	
B1XB76	
P0ABN3	2.7.1.107
Q47154	
B1XB43	3.6.5.n1
C4ZZ25	
C5A130	
P52095	4.1.1.18
P23930	2.3.1.269
Q8X4N7	
P08337	3.6.1.55
P68741	3.1.21.7
B1X869	
P09832	1.4.1.13
B1XAA7	1.3.3.3
C4ZX09	1.3.3.3
P58065	2.7.1.-
P77739	2.7.1.-
P23873	
Q8XD39	4.99.1.1
Q8XA71	1.18.1.3
P0ABW1	
Q8X6L0	1.7.99.1
C4ZY45	1.7.99.1
B1X814	1.7.99.1
P58409	1.1.1.-; 1.1.1.237
P52644	
P76340	
B1XB97	
C4ZXA3	
P0CF45	
Q8XA20	
P23331	2.7.1.21
P76112	2.3.1.-
P64258	2.7.8.13
C4ZRI2	2.7.8.13
P28306	4.2.2.-
B1XC64	2.7.8.13
P0A6W3	2.7.8.13
P0A6U3	
P0AB78	2.3.1.29
C4ZQ36	2.7.4.25
P76249	
P0A9H4	4.1.1.18
Q8X5L0	
P45464	
P78285	3.2.1.17
P76241	
P0AF63	
P0AAK7	
C4ZR55	
C4ZYV4	
C4ZRY8	2.1.-.-
P0AFE9	7.1.1.-
P0A6N3	
B1XFC2	
P77307	
P0CJ67	3.1.-.-
P76106	3.1.-.-
P67698	
P67697	
C4ZSB3	5.3.1.16
B1X6W1	5.3.1.16
P10371	5.3.1.16
P77712	3.1.2.-
Q8XCN6	
C4ZZV9	5.1.3.29
Q7AH43	7.2.2.7
P0A6M1	
P0AEN6	
P0AEN4	
P62709	5.4.2.11
Q8XDE9	5.4.2.12
P39212	
Q8XBB1	
P64295	6.3.5.2
P68067	
P75793	4.2.1.-
B1XAH2	2.5.1.61
Q8X8T4	2.4.2.17
C4ZUS9	4.99.1.1
P0ABC5	
C4ZUQ6	
P62617	4.6.1.12
P0ADG0	2.2.1.6
P02943	
P65471	6.3.2.8
P0A717	2.7.6.1
P32099	6.3.1.20
C4ZT68	6.3.1.20
P0ADW1	
Q8XAS9	1.1.1.38
P75823	4.1.2.48
P77257	7.6.2.13
P64176	
P07017	
B1XEA1	7.6.2.13
P0A9I9	1.7.1.15
P32711	
P0A9N8	1.97.1.-
P0AFC1	3.6.1.67
P0AAF1	
P32664	3.6.1.-; 3.6.1.22
P45799	3.6.1.-
P0AFG8	1.2.4.1
C4ZUB9	7.1.1.-
P0AFH2	
P06996	
P0A917	
Q8XB59	2.7.8.20
Q8X9V1	
Q8X730	4.3.2.1
P0ABA0	
B1X9W0	7.1.2.2
P0AE84	2.7.13.3
B1X9V9	
P0ABK7	
C4ZWI9	3.2.2.-; 4.2.99.18
Q8XCY9	3.4.22.-
P75855	
P75858	
P0DJ88	
P30845	2.7.-.-
A0A0H3JML2	2.7.-.-
P0AAI7	2.3.1.179
C4ZQK4	
P0ABY9	
P0ADH5	
P32152	2.7.1.-
C4ZXS8	2.7.1.6
P32669	4.1.2.-
B1XGT9	4.1.2.20
P0A9R9	
P0A9A4	
P00363	1.3.5.4
P0AD69	3.4.16.4
P0AC49	1.3.5.4
P52067	
P46889	
C5A1E6	
P0ACG7	
C5A0H5	1.4.4.2
Q8XD33	1.4.4.2
P13035	1.1.5.3
Q8X6Z5	2.8.1.1
P63224	5.3.1.28
B1X770	2.8.1.1
P37595	3.4.19.5
B1XB92	2.7.1.30
C4ZTP9	2.7.1.148
Q8XA48	3.4.23.36
B1XH93	
Q8XAY5	2.7.1.189
C4ZUA6	4.2.99.20
P17109	2.2.1.9
P0ACR9	
P0A936	4.2.2.n1
C5A0N2	4.2.2.n1
P0A749	2.5.1.7
Q8XB73	
P0A746	1.8.4.12
B1XHI3	2.4.1.129
P0A743	
P33590	
P43337	3.6.1.-
P32710	
P0AFC9	7.1.1.-
P0AE61	
P0A6D3	2.5.1.19
P77398	2.1.2.13; 1.1.1.305
B1X6D4	1.1.1.25
P0ABA2	
P33363	3.2.1.21
C4ZYU1	
Q8X4L7	
C4ZYH3	
P30844	2.7.13.3
P00936	4.6.1.1
P76113	1.3.1.n3
P0AAE1	
P0AAE0	
Q8XAP0	
Q46898	
P23890	
C5A0C2	4.1.1.31
Q46897	3.1.-.-
P0ABP3	
Q8XBE0	3.5.1.18
P31572	2.8.3.21
P31553	
P77231	2.4.2.52
P16430	
P16432	
P0AGK8	
P0AAT6	
C4ZPZ4	4.2.1.33
P0A9H3	4.1.1.18
P30125	1.1.1.85
P75957	7.6.2.-
Q8XAY8	
B1X7H2	
C4ZS93	
P30748	
P0A935	4.2.2.n1
Q8XDG1	
C4ZSW0	2.7.1.60
P63633	5.1.1.3
P0ABA8	
P0AE58	
C5A1D5	5.6.1.7
Q8XDZ7	3.1.25.-
C5A1D4	
P07330	3.1.1.61; 3.5.1.44
P0ABG2	2.7.7.41
P0AEE5	
P0ABM3	
P0ABM0	
P06282	3.6.1.26
Q8XB36	4.1.2.4
P0AAP1	2.7.7.65
P38097	2.7.7.65
Q8XAZ4	2.7.7.65
C4ZT63	4.1.2.4
B1XFJ1	4.1.2.4
P76147	2.7.7.65
Q8X6V3	2.7.7.65
P75801	2.7.7.65
P76237	2.7.7.65
Q8X8Q3	2.7.7.65
P0A6L0	4.1.2.4
P77302	2.7.7.65
P46139	2.7.7.65
Q7AHS5	
P77381	
P58233	
B1X7N2	3.5.4.5
P69055	
P69054	
Q8X7A5	3.6.1.26
P0AC44	
B1XBY1	2.7.1.33
P76291	2.5.1.-
P69331	
Q8XA19	
P41441	
P15047	1.3.1.28
P10378	6.3.2.14; 6.2.1.71
B1XCM1	6.3.2.2
B1XBG6	
P08189	
P0A6W9	6.3.2.2
P60566	
P0AEL9	
P31068	
P19323	
P23485	
P64639	
P0AEL3	
P33235	
Q8X7R2	1.3.8.7; 1.3.8.8
B1X9L5	2.3.1.16
B1XDY2	3.1.1.1
Q8XBM3	2.7.7.89; 2.7.7.42
P77335	
P16433	
P60787	3.6.5.n1
P0AD92	
P60995	
C4ZUX2	3.6.1.54
P33591	
P0AEI3	2.8.4.3
Q7ACM1	
P06864	3.2.1.23
P0AAM1	
P28246	
P30843	
Q46899	
C4ZW75	
P28248	3.5.4.13
P0AAE8	
C4ZPW4	2.8.3.21
P0A6J5	1.4.99.-
P0A6F2	6.3.5.5
P75733	
P0ABM9	
P0ABM1	
P75908	2.7.7.65
P0ACU0	
C4ZZ87	
P0A9P0	1.8.1.4
P0AE60	
P76236	2.7.7.65
P0A9H7	2.1.1.79
P15877	1.1.5.2
P0C0V1	3.4.21.107
P0AEE4	3.4.21.107
P0AEE3	3.4.21.107
P0A6G9	3.4.21.92
C5A055	3.1.1.96
P0ABR7	1.14.13.239
P0AE78	
P0AEA0	
P0AAJ8	
C4ZX90	1.17.7.3
P0AF12	3.2.2.9
P03061	
B1XEA2	
P0A819	2.5.1.6
P13009	2.1.1.13
Q8X800	
C4ZU53	1.1.5.4
P0AFA7	
Q7DBA6	2.1.1.-
P30860	
Q8X5X7	4.2.1.10
P05194	4.2.1.10
P0ABB6	7.1.2.2
C4ZZ15	
P68699	
C4ZZ10	7.1.2.2
P0ABD3	1.16.3.1
P12995	2.6.1.62
P0A942	
P0AAM2	
Q8X714	
P69915	
P06129	
B1XG18	
P41407	1.6.5.-; 1.7.1.17
Q8X9S9	1.6.5.-; 1.7.1.17
P62554	
P38101	
P0AA84	2.7.8.-
C4ZZR7	1.8.1.2
B1XHE2	
B1XFH3	
P58070	
C4ZYI9	
P39280	5.4.3.-
P0AA79	
P0AEJ4	2.7.13.3
P0A8P4	
P21177	4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35
P0AER5	
P77247	3.1.3.68; 3.1.3.22; 3.1.3.50; 3.1.3.23
P0AAM7	
P62615	2.7.1.148
P16429	
P0A6A6	4.2.1.33
P0A7C4	3.4.21.88
P0AEX5	2.7.1.19
P39380	2.7.1.-
P00803	3.4.21.89
C4ZWB7	2.3.1.181
Q8X504	
P69210	
P33369	
B1XF64	
P58484	4.2.1.113
Q8X3J5	
C4ZUA7	2.2.1.9
P0AF03	2.7.7.75
P33940	1.1.5.4
P0ACV6	3.4.17.-
Q8X9J9	2.5.1.7
P08331	3.1.3.6; 3.1.4.16
B1XCS8	2.7.7.4
P0AE76	2.7.1.156; 2.7.7.62
Q8XBJ8	7.3.2.3
P18776	
Q8XDD1	
P76938	1.14.-.-
P10805	
P0A9W3	3.6.1.-
P0AEJ7	4.3.1.7
P0AEJ6	4.3.1.7
P45758	
P45759	7.4.2.8
Q8X529	1.1.1.-
P11454	6.3.2.14; 6.2.1.72
B1XDQ9	6.3.1.-
P24077	
Q8XA27	
P61949	
P0ABZ1	
C4ZQL1	
P05825	
P0ABY7	
C4ZS20	
Q8XA55	2.1.2.1
P0AC88	4.2.1.47
P0AC97	
P0AER3	
P0C0M0	
P0CF61	
P0CF66	
P0CF71	
P0CF72	
P0CE54	
P0CE55	
P0CE56	
P0A7A3	5.4.2.-
P0CF88	
P0AEW8	2.7.1.73
P0AEW6	2.7.1.73
P0A9Z3	
P0A9Z1	
P0AES2	4.2.1.40
P0CF92	
P45763	
P0AES6	5.6.2.2
P0CE58	
C4ZRP7	5.4.3.8
P0CE62	
B1XD24	5.4.3.8
P03645	
P24218	
P0ABZ5	3.1.3.45
P0ABZ4	3.1.3.45
P21866	
P0AC77	2.4.99.12; 2.4.99.13
P36937	
P0AC75	2.4.99.12; 2.4.99.13
P37769	1.1.1.127; 1.1.1.-
Q8XD88	2.7.4.8
P60546	2.7.4.8
Q8X6I8	5.3.1.17
C5A0C6	5.3.1.17
B1XED7	5.3.1.17
Q46938	5.3.1.17
C4ZTQ6	2.5.1.55
B1XAQ6	2.5.1.55
C4ZWH2	
B1X6M7	
P0A715	2.5.1.55
P03961	
Q8XA24	1.6.5.2
C4ZPX2	1.6.5.2
B1XC47	1.6.5.2
P0A754	1.6.5.2
Q8X878	
C4ZUK6	
B1X6K0	
P45522	
P0A758	1.6.5.2
C4ZUK7	1.6.5.2
B1X6K1	1.6.5.2
P0A756	1.6.5.2
Q8XDG6	2.7.7.38
C4ZQ44	2.7.7.38
B1X8M2	2.7.7.38
P04951	2.7.7.38
P75799	
P0AB71	4.1.2.13
Q8X5L8	
P46854	2.3.1.-; 2.3.1.53
P32721	7.5.2.8
P32720	
P32719	5.1.3.-
P32718	2.7.1.55
C4ZUV5	4.3.2.3
C4ZXQ7	3.5.4.2
P31441	3.5.4.2
P42601	
C5A160	
P37686	1.1.1.1
P05050	1.14.11.33
P42906	3.5.1.-
P42912	3.5.99.-
P60063	
P0AE07	
P37127	
Q8XCV5	2.7.2.2
P24244	
B1XFQ6	2.4.2.7
P0AE34	
C4ZQ34	2.5.1.19
B1X736	4.2.3.4
P0AB92	2.5.1.54
P0AB91	2.5.1.54
P0A6I5	2.7.1.33
P00887	2.5.1.54
C4ZWA6	
B1X8W8	2.1.2.13; 1.1.1.305
B1XE52	1.1.99.1; 1.2.1.8
P0A9Y6	
Q8X8Z0	
P0ADA0	
P77622	
Q8XA32	2.8.3.21
P45428	
Q8XA30	
B1XDP7	5.6.1.7
P0A9Y8	
P0AC02	
P0A972	
P06610	1.11.1.24; 1.11.1.9
P65640	
P0AE54	1.11.1.24
P0A986	
Q46896	3.1.-.-
P58228	4.1.1.15
C4ZTN0	1.4.99.-
P0ABP1	
B1XA76	1.4.99.-
P60584	1.3.8.13
B1XBG4	1.3.8.13
Q8XA34	6.2.1.48
P45955	
P0AGF3	
P08369	
P24251	
P0ACZ8	
P77485	2.7.13.3
P0AEC8	2.7.13.3
P0AEB0	
P69853	
P0ABH0	
P66817	
P23840	
P28303	
P0DUE4	
P58217	
P58218	
P0ABR3	
A5A624	
P0ABT3	1.16.-.-
P58320	
P0AA86	
P0AEG1	
B1X6A6	
P0AEK5	1.3.1.9
P0A993	3.1.3.11
P0AAI9	2.3.1.39
P0AEL2	
C5A0N1	
P0ADH6	
B1XDL3	5.1.3.29
B1XDL1	5.3.1.25
P45544	
P0AC53	1.1.1.49
P69922	5.3.1.25; 5.3.1.3
Q8X7N7	3.1.1.1
Q8X5J8	4.1.3.39
P51020	4.1.3.39
P0ACG4	
Q8XBW9	
Q8XBX0	
P28905	2.7.7.7
P75974	
C4ZWB3	
P0ABJ7	
P56100	7.1.1.7
C4ZX13	4.3.1.7
B1XAB1	4.3.1.7
P19636	4.3.1.7
P0A6R2	2.3.1.180
P0A6Q4	4.2.1.59; 5.3.3.14
C4ZQ80	4.2.1.59; 5.3.3.14
B1X8Q8	4.2.1.59; 5.3.3.14
P0A6Q3	4.2.1.59; 5.3.3.14
Q8XBR7	2.8.3.16
C4ZVR1	2.8.3.16
P0ABY4	
P0ABP6	
P68646	
P0ACF4	
B1X6D9	3.5.1.88
Q47208	
P64638	
P0ACN7	
Q8X8L4	3.1.1.45
P16701	
P42628	
P0AEE8	2.1.1.72
P0A6P1	
P50465	3.2.2.-; 4.2.99.18
P77488	2.2.1.7
Q8X9L2	5.4.2.10
C4ZSR5	5.4.2.10
B1XGY6	5.4.2.10
P31120	5.4.2.10
P71301	
P0ACC3	
P0AEJ8	
P76555	2.7.2.1
P0ADQ4	2.3.1.-
P0AEK4	1.3.1.9
P15028	
P0AAJ5	
P0ACG0	
P11553	2.7.1.51
P0AEP5	2.7.7.9
Q8X5J4	1.1.1.284; 1.1.1.1; 1.1.1.-
P11663	4.2.1.2
P0ACX7	4.2.1.2
P0AA81	
P37180	
P0A6F4	2.7.1.30
P0AC96	
P0A902	
Q8X825	2.8.1.6
P0A6F5	5.6.1.7
P76251	1.1.1.83
P76250	
P0ABM7	
P0AC13	2.5.1.15
Q8X648	3.5.4.5
P0ABF6	3.5.4.5
P77390	6.2.1.22
Q8XCH5	2.5.1.-
P0A9I1	4.1.3.6; 4.1.3.34
P76175	
B1XB55	3.1.1.96
Q8X8Y1	1.1.1.267
P64467	
P36837	
Q8XE50	3.6.1.-
Q8XBY4	2.7.13.3
P00816	4.2.1.104
P0AEA9	2.1.1.107; 1.3.1.76; 4.99.1.4
B1XDI9	4.2.1.11
P75856	
C5A033	
C4ZYN1	
Q8XBV9	6.3.2.14; 6.2.1.72
P0A8N7	6.3.1.-
C4ZPW7	
Q8X534	
P68644	
P75933	
P45523	5.2.1.8
P0ABZ3	
P52627	
Q47129	
P24183	1.17.5.3
C5A020	4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35
P10384	
Q8X844	3.5.-.-
P0A9B1	
C4ZT96	3.1.1.1
P10121	
P0A6T4	2.7.1.6
P0AC23	
P0A9E5	
C4ZV25	6.3.2.2
P0C8J6	4.1.2.40
P0AFP8	
P63225	5.3.1.28
P0AER0	
P09391	3.4.21.105
P0AEQ8	
P0AC71	
C4ZU83	1.1.5.3
C4ZXT8	3.1.1.31
Q8XCV3	3.1.3.89
Q8X5J9	1.2.1.10
P0A957	4.1.3.16; 4.1.2.14
P46481	
B1XHL4	
P0AE24	
P02924	
Q8X6K6	
Q8X4S6	2.6.1.11; 2.6.1.17
P0A6C9	2.7.2.8
P0A6C5	2.3.1.1
P05052	
B1XC51	
P69680	
P77610	
P0AB93	
C4ZZ22	6.3.1.1
P76472	3.5.1.n3
B1X8X1	
Q8XDZ1	2.4.2.43
P0ABA5	
B1XBI8	4.2.1.104
P0A6J8	6.3.2.4
P0AEF4	
B1XGC7	1.5.1.5; 3.5.4.9
P0A6N6	
P0A6N4	
P0ABU5	4.2.1.-
Q8X582	
P0ABV2	
P0ACL2	
Q8XAB0	3.1.11.6
P0CB39	2.7.-.-
P0AAI5	2.3.1.179
P15070	
Q8X8F1	2.1.2.9
P0AEK7	
P0ADH7	
P46859	2.7.1.12
B1X8D6	1.1.5.3
C4ZRN7	6.1.1.-
P75797	
P0A8R9	
P0A6J1	2.7.1.25
C4ZZQ4	2.7.1.25
P0A9F5	
P0ACF2	
Q7ABI1	
Q8X8I7	2.3.1.39
P52612	7.1.2.2
P15029	
P23484	
Q8X835	
C4ZR38	4.1.2.20
P24186	1.5.1.5; 3.5.4.9
P0A9S4	1.1.1.251
P33195	1.4.4.2
P0AFP6	
Q8X7H4	
C4ZVX6	2.8.1.1
C4ZRV8	5.3.1.28
Q8X6Z6	3.4.21.105
P0AC92	
P28721	
P0AC95	
B1XD76	3.1.2.6
P0AC85	3.1.2.6
P0CF53	
P0CF54	
P0CF59	
P0CF67	
P0CF68	
P0CF69	
P0CF70	
P76641	3.5.4.3
P30128	
P0CE64	
A0A385XJE6	
P23893	5.4.3.8
P15081	
P75981	
Q8X984	1.7.1.7
P76056	
P06715	1.8.1.7
Q7A978	1.11.1.21
P41443	
P0AEX1	2.7.1.56
P0AEW9	2.7.1.56
C4ZSB4	4.3.2.10
B1XGJ4	3.5.1.105
P0ABE5	
P0A6F9	
P0AE67	
P0ABG1	2.7.7.41
Q8X8V0	2.4.2.21
P25736	3.1.21.1
P0A9D4	2.3.1.30
P0A6P6	
C4ZX86	
P0AAB7	2.7.7.9
P0AAB6	2.7.7.9
P0A9A8	
P0A9S2	1.1.1.77
P0A9S1	1.1.1.77
P11551	
P0ACK8	
P0A9C3	5.1.3.3
P0AEN3	1.5.1.41
P0AEN1	1.5.1.41
P0AEP1	
P03024	
Q8X4P8	4.2.1.2; 5.3.2.2
P0AC33	4.2.1.2; 5.3.2.2
P14407	4.2.1.2; 4.2.1.81
P25748	
Q8X769	4.2.1.2
P05042	4.2.1.2
Q8X6R8	4.1.2.17
P0AB87	4.1.2.17
P25526	1.2.1.79; 1.2.1.-
P0A9A9	
P25437	1.1.1.284; 1.1.1.1; 1.1.1.-
P0A9B4	1.2.1.12
P0A9B2	1.2.1.12
P58229	
P63235	
P06136	
P63206	
P63204	
Q8X5J3	
P58072	1.2.1.12
P0AAP3	
P63202	
P63201	
P37639	
P0ACB0	3.6.4.12
P0ABH2	
Q46857	1.1.1.274
B1X7E2	1.16.-.-
P0ABT2	1.16.-.-
B1X969	3.2.2.23; 4.2.99.18
P08555	
P64007	3.6.1.23
P58203	
P0A6E6	
P75989	
Q8X821	6.3.3.3
B1X7A5	2.8.1.6
P13000	6.3.3.3
Q47083	
P0A9P6	3.6.4.13
C4ZPW6	
P75925	
P0AEA2	
P0A9D6	2.3.1.30
P23845	2.7.7.4
Q8X8Y9	3.1.5.1
P0AEE9	2.1.1.72
P0ACC5	
C4ZRP9	
P0ABF4	
P63746	
P36547	
P65643	
P58402	2.7.13.3
P0ACZ6	
P09030	3.1.11.2
P0ABV4	
P75717	
B1XB81	
P15031	
P80668	1.2.1.39
Q8XCE8	
P32055	1.1.1.271
P21151	2.3.1.16
P0AC30	
P17169	2.6.1.16
P0A9D2	2.5.1.18
P64274	
P0CE63	
P37651	3.2.1.4
Q46915	4.2.1.-
Q8X4S5	5.3.1.13
P37326	
Q8X6V7	
P04079	6.3.5.2
C4ZZ47	3.6.1.40
P25552	3.6.1.40
P09126	4.2.1.75
P21179	1.11.1.6
P63264	
P0ACJ7	
Q8X743	4.1.1.31
P0ABN9	
P60586	1.3.8.13
B1XBC1	4.1.1.31
P0AAF0	
P0A6F1	6.3.5.5
P17410	
P17411	3.2.1.86
P0AE95	
Q8X8U9	2.7.8.26
P17583	
B1X716	2.1.1.107; 1.3.1.76; 4.99.1.4
B1XC00	4.1.1.37
P29680	4.1.1.37
P0ABY6	
B1X9P6	2.8.3.16
P04949	
P0A8J2	
P0A9R0	1.2.1.11
P15723	3.1.5.1
Q8XDC9	
P0A6C1	3.1.21.2
P75857	
C4ZTH9	3.1.11.6
C5A0R2	
P45756	
P03825	
P45757	
P0A6R0	2.3.1.180
P0AEJ3	5.4.4.2
Q8XBV3	6.3.2.14; 6.2.1.71
P08190	
P0AEM6	
P13024	
P32177	
C5A059	
P26608	
P28861	1.18.1.2; 1.19.1.1
P0AC09	
B1XHF8	
P04128	
Q8X845	
P21345	
B1XD36	2.7.7.59; 3.1.4.-
Q8X909	6.1.1.-
P77454	3.5.1.2
P0ABB2	7.1.2.2
C4ZTE1	
B1XEX1	
Q8XBA4	
Q8X4Q7	
P30126	4.2.1.33
Q8X8H6	2.7.4.9
P0AD89	
Q8X5K7	
P0A9M0	3.4.21.53
P60720	2.3.1.181
C4ZQ82	
C4ZWP8	1.1.1.38
Q8XAY7	7.6.2.13
C4ZVM1	3.4.24.-
P08201	1.7.1.15
B1X8R7	4.2.3.3
B1XA63	
P0AF01	
Q8XE45	1.1.5.4
P64608	
P0A734	
C4ZQ03	
P0AF10	
P0C0S2	
C4ZSS8	2.5.1.7
C4ZQY5	3.2.2.28
P60293	
P0A744	1.8.4.11
Q8XA23	1.4.3.16; 1.5.99.-
P33594	7.2.2.11
P0A8G6	1.6.5.2
P28903	1.1.98.6
P08371	
P08372	
C4ZYV6	1.18.1.-
P0AA18	
P27298	3.4.24.70
C4ZVG4	
P37057	
P18133	6.3.4.21
P76611	
P43671	
C4ZSZ5	2.1.1.-
P07013	
P0A7K8	
B1X7A6	2.3.1.47
P12998	2.3.1.47
Q8X947	
P03004	
P0AEW4	3.1.4.53
P0AAK4	
P0A6B7	2.8.1.7
P62618	4.6.1.12
P03023	
P0ADV3	
P76114	
P28635	
P31547	
C4ZQ50	
P0C0S1	
C4ZRZ9	1.5.3.-
Q8XCG3	1.8.4.11
Q8X711	1.3.1.98
Q8X9Z2	6.3.2.13
P76270	1.8.4.14
P24202	
P76082	4.2.1.17
P77467	5.3.3.18
P76083	1.1.1.-
P76084	3.1.2.-
P0C7L2	2.3.1.174; 2.3.1.223
P76085	6.2.1.30
P28305	4.1.3.38
Q8XBP0	2.7.7.18
B1XBT5	2.7.1.23
C4ZU48	1.9.6.1
C4ZXS1	2.5.1.72
P58067	3.2.1.52
P76242	
P31061	
P0AFA6	
P0A9I8	1.7.1.15
Q8X854	
P0AFH4	
P0AFH7	
P0AFH6	
P76045	
P75920	2.1.-.-
P0A780	
Q6BF16	4.1.2.21
P33013	3.4.16.4
P18775	1.8.5.3
P69908	4.1.1.15
C4ZT45	
P52101	2.7.13.3
P0A9C0	1.1.5.3
P0AEQ6	
P0AET8	1.1.1.159
P06983	2.5.1.61
C4ZXB7	1.18.1.3
Q8XA72	1.3.1.87
P30178	1.1.1.-; 1.1.1.237
B1X6V8	2.6.1.9
P67910	5.1.3.20
P0AEU2	
P64634	
P62622	1.17.7.3
Q8X5R2	
B1XBA4	
Q8X9I3	
Q8XDX8	2.2.1.9
P00935	2.5.1.48
P06721	4.4.1.13; 4.4.1.28
P23200	
B1XBJ4	1.14.13.127
P0AEZ9	
Q8XCQ7	2.1.1.61; 1.5.-.-
Q8X4V7	7.3.2.5
Q8XB41	3.6.-.-
C4ZXV3	4.1.99.22
C4ZRQ2	3.2.2.9
P0AF14	3.2.2.9
Q8XDG0	
P31678	3.1.3.12
B1X6C1	
Q8X9I1	2.4.1.129
P22188	6.3.2.13
Q8XB74	1.8.5.-
Q8X9Y9	6.3.2.9
P0ABH4	
P75949	3.2.1.52
P0A9L8	1.5.1.2
P0A7D9	6.3.2.6
P0AFK1	3.4.-.-
P26647	2.3.1.51; 2.3.1.n4
P0ADI0	3.1.22.-; 6.5.1.-
P37794	3.5.1.105
P0ABE9	4.2.1.1
P63944	4.3.3.7
B1XCS7	2.7.7.4
C4ZVN2	4.2.1.17; 5.1.2.3; 1.1.1.35
P37349	2.7.1.121
P0A6P3	
C4ZRR2	
C4ZU09	3.1.21.2
P04995	3.1.11.1
P0ABU7	
P0A9R2	
Q8XC28	2.7.10.-
P69380	
P33135	
P22586	
B1X9J3	
P0AB22	
P0AA80	
P0AEU0	
P0ACG6	
P77091	
B1X786	5.4.2.11
C5A093	2.7.1.30
P0ACE7	3.9.1.-
P0AET6	
P0ABC7	
P25519	
P0ABC8	
Q9REB3	
P76339	2.7.13.3
P36646	
P0A701	
P30131	6.2.-.-
Q7ADF8	3.1.3.68; 3.1.3.22; 3.1.3.50; 3.1.3.23
P69213	
P0A9F9	
Q8XDX9	4.2.99.20
Q8XAY0	
B1X7B1	4.1.99.22
P50456	
P76329	3.1.3.70
P03817	
P0A736	
P39285	
Q8XAN4	3.2.2.28
P0A9X4	
Q8XE47	1.9.6.1
B1XA99	4.2.1.126
P0A6Z8	
P0AFH0	2.1.1.63
B1X8N5	6.3.4.21
P67082	
P00894	2.2.1.6
P0CF44	
A0A385XJL4	
Q8XDN3	2.5.1.75
P76071	
P0CE53	
B1XDS2	2.5.1.75
P45395	5.3.1.13
Q8XDE7	2.5.1.55
Q8X9G0	
P03819	
P37329	
P12281	2.10.1.1
C4ZR47	4.1.2.40
Q8XA85	
B1XDP1	
P77791	2.3.1.79
B1XEA6	5.3.1.32
B1X939	3.4.24.-
C5A0L1	2.5.1.6
Q8X7I3	
Q8XD03	2.7.2.3
C4ZRI5	2.4.1.227
P17802	3.2.2.31
P06722	
Q8X693	4.2.1.79; 4.2.1.3
P0AFK6	
C4ZTP5	3.1.1.29
P15373	
P0A8A4	2.7.11.33; 2.7.4.28
B1XCS3	2.7.7.60
P0AB80	2.6.1.42
C4ZS77	
P0AAP6	
P0CF79	
P0CE50	
P0CF81	
P62625	1.17.7.4
P77154	2.4.1.230
P02920	
Q8XA00	4.2.1.33
C4ZT19	2.7.1.-
Q8XBK2	2.3.1.269
P61321	
P69778	
P25737	
Q8XED0	7.6.2.-
P75831	7.6.2.-
P76398	
P0AF04	2.7.7.75
Q8X6K2	
Q8X9Y8	2.4.1.227
P0AFB3	
C4ZSQ4	
P25536	3.6.1.9
P0A774	
P31133	
P31135	
Q8X9I6	2.1.-.-
Q46889	2.7.1.217
Q8FEY5	
Q7DBF7	2.3.1.227
P0AFI9	
P77150	2.7.1.35
P0AFJ5	
P45548	3.1.-.-
P37028	
P76632	
P16700	
P0AEF2	
P76016	
P0AEN8	5.1.3.29; 5.4.99.62
P0ABS5	2.7.7.101
P0ACK7	
P0ACK5	
P58230	
P0AFS4	1.5.1.50; 1.5.1.3
P31129	2.7.7.65
P46068	
P0A3F6	
P0AEG3	
P0A988	
C4ZXN2	3.6.1.23
P03007	2.7.7.7
Q8XBL5	6.5.1.2
P0A6M8	
